Dates,Cases,Deaths,Recovered
3/2/20,1,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,1,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,1,1,0
3/11/20,2,0,0
3/12/20,1,0,0
3/13/20,1,0,1
3/14/20,10,0,0
3/15/20,11,0,0
3/16/20,1,0,0
3/17/20,9,1,0
3/18/20,11,0,0
3/19/20,14,0,0
3/20/20,14,1,0
3/21/20,19,0,2
3/22/20,19,1,0
3/23/20,28,0,0
3/24/20,27,1,3
3/25/20,55,1,1
3/26/20,50,5,1
3/27/20,70,12,3
3/28/20,57,2,0
3/29/20,77,1,2
3/30/20,77,7,2
3/31/20,61,3,9
4/1/20,37,3,5
4/2/20,54,5,2
4/3/20,83,4,26
4/4/20,128,11,9
4/5/20,102,11,10
4/6/20,99,10,5
4/7/20,64,10,12
4/8/20,91,3,4
4/9/20,99,4,12
4/10/20,74,10,13
4/11/20,97,4,24
4/12/20,116,7,31
4/13/20,102,8,26
4/14/20,125,0,14
4/15/20,136,1,12
4/16/20,259,3,20
4/17/20,281,5,32
4/18/20,121,2,33
4/19/20,170,4,13
4/20/20,191,2,23
4/21/20,163,2,43
4/22/20,237,4,24
4/23/20,122,6,39
4/24/20,190,3,30
4/25/20,139,1,51
4/26/20,168,2,56
4/27/20,55,1,102
4/28/20,132,3,83
4/29/20,69,3,150
4/30/20,102,2,56
5/1/20,146,1,99
5/2/20,160,2,173
5/3/20,174,1,182
5/4/20,150,5,215
5/5/20,166,2,185
5/6/20,189,2,179
5/7/20,140,0,162
5/8/20,163,3,145
5/9/20,199,0,137
5/10/20,153,2,93
5/11/20,218,0,257
5/12/20,137,0,180
5/13/20,94,0,140
5/14/20,95,2,179
5/15/20,45,0,90
5/16/20,89,2,87
5/17/20,129,0,173
5/18/20,82,0,98
5/19/20,71,1,143
5/20/20,110,1,197
5/21/20,78,2,182
5/22/20,121,1,97
5/23/20,74,1,261
5/24/20,27,1,65
5/25/20,99,1,71
5/26/20,45,2,107
5/27/20,24,0,97
5/28/20,42,0,217
5/29/20,71,0,76
5/30/20,66,2,130
5/31/20,27,1,58
6/1/20,26,0,434
6/2/20,33,1,517
6/3/20,56,0,456
6/4/20,81,2,329
6/5/20,68,0,73
6/6/20,80,0,47
6/7/20,73,0,49
6/8/20,78,0,44
6/9/20,135,2,85
6/10/20,71,1,72
6/11/20,29,0,18
6/12/20,73,1,35
6/13/20,82,0,78
6/14/20,101,0,69
6/15/20,92,0,63
6/16/20,46,0,109
6/17/20,66,1,56
6/18/20,77,0,48
6/19/20,539,0,76
6/20/20,226,0,106
6/21/20,138,1,61
6/22/20,195,0,82
6/23/20,172,0,41
6/24/20,563,2,61
6/25/20,431,1,32
6/26/20,295,1,156
6/27/20,244,2,67
6/28/20,175,1,17
6/29/20,238,4,93
6/30/20,243,3,87
7/1/20,103,0,106
7/2/20,333,1,64
7/3/20,319,1,70
7/4/20,534,2,169
7/5/20,393,3,396
7/6/20,164,2,448
7/7/20,228,3,466
7/8/20,164,2,677
7/9/20,308,0,131
7/10/20,249,1,380
7/11/20,214,2,238
7/12/20,203,5,218
7/13/20,191,5,651
7/14/20,161,2,508
7/15/20,165,2,379
7/16/20,283,4,144
7/17/20,181,1,395
7/18/20,289,5,260
7/19/20,221,4,301
7/20/20,326,3,211
7/21/20,180,4,257
7/22/20,220,5,247
7/23/20,302,7,236
7/24/20,570,7,228
7/25/20,811,6,182
7/26/20,633,8,156
7/27/20,609,3,115
7/28/20,500,11,513
7/29/20,826,7,59
7/30/20,1046,12,186
7/31/20,1063,7,347
8/1/20,693,14,302
8/2/20,522,15,475
8/3/20,659,19,533
8/4/20,1021,16,661
8/5/20,1283,18,365
8/6/20,1144,14,559
8/7/20,1018,12,995
8/8/20,1345,19,642
8/9/20,1230,18,1157
8/10/20,826,18,1177
8/11/20,1132,17,861
8/12/20,1499,23,292
8/13/20,1241,28,1010
8/14/20,1306,27,957
8/15/20,1776,21,922
8/16/20,1472,26,778
8/17/20,1069,23,597
8/18/20,1245,33,1061
8/19/20,1510,29,574
8/20/20,1325,32,1230
8/21/20,1609,42,1393
8/22/20,1565,41,841
8/23/20,1537,30,1303
8/24/20,903,32,1135
8/25/20,1276,35,815
8/26/20,1336,29,2293
8/27/20,1221,27,1315
8/28/20,1404,41,1148
8/29/20,1567,26,1569
8/30/20,1343,33,1737
8/31/20,1191,30,1240
9/1/20,1191,43,1327
9/2/20,1672,32,1435
9/3/20,1402,37,866
9/4/20,1750,39,1260
9/5/20,1555,37,1446
9/6/20,2234,32,1345
9/7/20,1386,33,822
9/8/20,1941,33,1143
9/9/20,2157,26,2484
9/10/20,1889,38,2127
9/11/20,2430,33,2344
9/12/20,2238,29,1673
9/13/20,2251,25,1661
9/14/20,1517,36,1442
9/15/20,2121,34,2077
9/16/20,1692,38,1921
9/17/20,2488,28,1962
9/18/20,2760,41,1760
9/19/20,2552,40,2318
9/20/20,1927,35,1724
9/21/20,1376,25,3426
9/22/20,2227,34,1725
9/23/20,2397,29,2361
9/24/20,2356,38,1942
9/25/20,2423,42,1746
9/26/20,2719,43,2218
9/27/20,2444,28,1441
9/28/20,1422,44,1877
9/29/20,2076,39,2785
9/30/20,2470,42,2462
10/1/20,2391,35,1421
